char,zhuyin,timestamp
樹,ㄕㄨˋ,2025-11-26 20:30:25
花,ㄏㄨㄚ,2025-11-26 20:31:22
樹,ㄕㄨˋ,2025-11-26 20:33:38
地,ㄉㄧˋ,2025-11-26 20:34:13
樹,ㄕㄨˋ,2025-11-26 20:34:23
鳥,ㄋㄧㄠˇ,2025-11-26 20:35:29
鳥,ㄋㄧㄠˇ,2025-11-26 20:39:21
花,ㄏㄨㄚ,2025-11-26 20:39:23
地,ㄉㄧˋ,2025-11-26 20:41:55
天,ㄊㄧㄢ,2025-11-26 20:53:14
魚,ㄩˊ,2025-11-26 20:56:23
魚,ㄩˊ,2025-11-26 21:10:42
香,ㄒㄧㄤ,2025-11-26 21:56:37
