char,zhuyin
裝,ㄓㄨㄤ
褲,ㄎㄨˋ
襯,ㄔㄣˋ
西,ㄒㄧ
要,ㄧㄠˋ
見,ㄐㄧㄢˋ
規,ㄍㄨㄟ
視,ㄕˋ
親,ㄑㄧㄣ
覺,ㄐㄩㄝˊ
觀,ㄍㄨㄢ
角,ㄐㄧㄠˇ
解,ㄐㄧㄝˇ
言,ㄧㄢˊ
訂,ㄉㄧㄥˋ
計,ㄐㄧˋ
討,ㄊㄠˇ
訓,ㄒㄩㄣˋ
託,ㄊㄨㄛ
記,ㄐㄧˋ
許,ㄒㄩˇ
訴,ㄙㄨˋ
診,ㄓㄣˇ
評,ㄆㄧㄥˊ
詞,ㄘˊ
試,ㄕˋ
詩,ㄕ
話,ㄏㄨㄚˋ
該,ㄍㄞ
詳,ㄒㄧㄤˊ
認,ㄖㄣˋ
語,ㄩˇ
誠,ㄔㄥˊ
誤,ㄨˋ
誦,ㄙㄨㄥˋ
說,ㄕㄨㄛ
誰,ㄕㄟˊ
課,ㄎㄜˋ
調,ㄊㄧㄠˊ
談,ㄊㄢˊ
請,ㄑㄧㄥˇ
論,ㄌㄨㄣˋ
講,ㄐㄧㄤˇ
謝,ㄒㄧㄝˋ
證,ㄓㄥˋ
識,ㄕˋ
譜,ㄆㄨˇ
警,ㄐㄧㄥˇ
譯,ㄧˋ
議,ㄧˋ
護,ㄏㄨˋ
讀,ㄉㄨˊ
變,ㄅㄧㄢˋ
讓,ㄖㄤˋ
豆,ㄉㄡˋ
豐,ㄈㄥ
象,ㄒㄧㄤˋ
貝,ㄅㄟˋ
負,ㄈㄨˋ
財,ㄘㄞˊ
貢,ㄍㄨㄥˋ
貨,ㄏㄨㄛˋ
貪,ㄊㄢ
貫,ㄍㄨㄢˋ
責,ㄗㄜˊ
貴,ㄍㄨㄟˋ
買,ㄇㄞˇ
費,ㄈㄟˋ
貼,ㄊㄧㄝ
貿,ㄇㄠˋ
資,ㄗ
賞,ㄕㄤˇ
賣,ㄇㄞˋ
購,ㄍㄡˋ
賽,ㄙㄞˋ
贈,ㄗㄥˋ
走,ㄗㄡˇ
起,ㄑㄧˇ
超,ㄔㄠ
越,ㄩㄝˋ
趕,ㄍㄢˇ
趣,ㄑㄩˋ
足,ㄗㄨˊ
跑,ㄆㄠˇ
跟,ㄍㄣ
路,ㄌㄨˋ
跳,ㄊㄧㄠˋ
踢,ㄊㄧ
蹈,ㄉㄠˇ
躁,ㄗㄠˋ
身,ㄕㄣ
車,ㄔㄜ
軍,ㄐㄩㄣ
軟,ㄖㄨㄢˇ
較,ㄐㄧㄠˋ
載,ㄗㄞˇ
輕,ㄑㄧㄥ
輩,ㄅㄟˋ
輪,ㄌㄨㄣˊ
輸,ㄕㄨ
轉,ㄓㄨㄢˇ
辛,ㄒㄧㄣ
辣,ㄌㄚˋ
辦,ㄅㄢˋ
辨,ㄅㄧㄢˋ
辯,ㄅㄧㄢˋ
農,ㄋㄨㄥˊ
迎,ㄧㄥˊ
近,ㄐㄧㄣˋ
迫,ㄆㄛˋ
迷,ㄇㄧˊ
追,ㄓㄨㄟ
退,ㄊㄨㄟˋ
送,ㄙㄨㄥˋ
逃,ㄊㄠˊ
途,ㄊㄨˊ
這,ㄓㄜˋ
通,ㄊㄨㄥ
逛,ㄍㄨㄤˋ
速,ㄕㄨˋ
造,ㄗㄠˋ
連,ㄌㄧㄢˊ
進,ㄐㄧㄣˋ
遇,ㄩˋ
遊,ㄧㄡˊ
運,ㄩㄣˋ
遍,ㄅㄧㄢˋ
過,ㄍㄨㄛˋ
道,ㄉㄠˋ
達,ㄉㄚˊ
遠,ㄩㄢˇ
適,ㄕˋ
遲,ㄔˊ
選,ㄒㄩㄢˇ
遺,ㄧˊ
還,ㄏㄞˊ
邊,ㄅㄧㄢ
那,ㄋㄚˋ
部,ㄅㄨˋ
郵,ㄧㄡˊ
都,ㄉㄡ
鄉,ㄒㄧㄤ
酒,ㄐㄧㄡˇ
酸,ㄙㄨㄢ
醋,ㄘㄨˋ
醒,ㄒㄧㄥˇ
醫,ㄧ
醬,ㄐㄧㄤˋ
重,ㄓㄨㄥˋ
野,ㄧㄝˇ
量,ㄌㄧㄤˊ
金,ㄐㄧㄣ
釘,ㄉㄧㄥ
針,ㄓㄣ
鈴,ㄌㄧㄥˊ
銀,ㄧㄣˊ
銷,ㄒㄧㄠ
鋪,ㄆㄨˋ
鋼,ㄍㄤ
錄,ㄌㄨˋ
錢,ㄑㄧㄢˊ
錯,ㄘㄨㄛˋ
鍋,ㄍㄨㄛ
鍵,ㄐㄧㄢˋ
鏡,ㄐㄧㄥˋ
鐵,ㄊㄧㄝˇ
鑽,ㄗㄨㄢˋ
長,ㄔㄤˊ
門,ㄇㄣˊ
閃,ㄕㄢˇ
閉,ㄅㄧˋ
開,ㄎㄞ
閒,ㄒㄧㄢˊ
間,ㄐㄧㄢ
閱,ㄩㄝˋ
關,ㄍㄨㄢ
防,ㄈㄤˊ
阻,ㄗㄨˇ
附,ㄈㄨˋ
降,ㄐㄧㄤˋ
限,ㄒㄧㄢˋ
院,ㄩㄢˋ
除,ㄔㄨˊ
陪,ㄆㄟˊ
陰,ㄧㄣ
陳,ㄔㄣˊ
陸,ㄌㄨˋ
陽,ㄧㄤˊ
隊,ㄉㄨㄟˋ
際,ㄐㄧˋ
隨,ㄙㄨㄟˊ
險,ㄒㄧㄢˇ
集,ㄐㄧˊ
雖,ㄙㄨㄟ
雜,ㄗㄚˊ
雞,ㄐㄧ
離,ㄌㄧˊ
難,ㄋㄢˊ
雨,ㄩˇ
雪,ㄒㄩㄝˇ
雲,ㄩㄣˊ
零,ㄌㄧㄥˊ
電,ㄉㄧㄢˋ
需,ㄒㄩ
霜,ㄕㄨㄤ
靈,ㄌㄧㄥˊ
青,ㄑㄧㄥ
靜,ㄐㄧㄥˋ
非,ㄈㄟ
靠,ㄎㄠˋ
面,ㄇㄧㄢˋ
面,ㄇㄧㄢˋ
鞋,ㄒㄧㄝˊ
音,ㄧㄣ
響,ㄒㄧㄤˇ
頁,ㄧㄝˋ
頂,ㄉㄧㄥˇ
項,ㄒㄧㄤˋ
順,ㄕㄨㄣˋ
預,ㄩˋ
頓,ㄉㄨㄣˋ
領,ㄌㄧㄥˇ
頭,ㄊㄡˊ
顆,ㄎㄜ
題,ㄊㄧˊ
願,ㄩㄢˋ
類,ㄌㄟˋ
顧,ㄍㄨˋ
風,ㄈㄥ
飛,ㄈㄟ
食,ㄕˊ
飯,ㄈㄢˋ
飲,ㄧㄣˇ
餃,ㄐㄧㄠˇ
餅,ㄅㄧㄥˇ
養,ㄧㄤˇ
餐,ㄘㄢ
餓,ㄜˋ
館,ㄍㄨㄢˇ
首,ㄕㄡˇ
香,ㄒㄧㄤ
馬,ㄇㄚˇ
騎,ㄑㄧˊ
驗,ㄧㄢˋ
驚,ㄐㄧㄥ
骨,ㄍㄨㄛˇ
髒,ㄗㄤ
體,ㄊㄧˇ
高,ㄍㄠ
鬧,ㄋㄠˋ
鬼,ㄍㄨㄟˇ
魚,ㄩˊ
鮮,ㄒㄧㄢ
鳥,ㄋㄧㄠˇ
鴉,ㄧㄚ
鹹,ㄒㄧㄢˊ
鹽,ㄧㄢˊ
麗,ㄌㄧˋ
麥,ㄇㄞˋ
麻,ㄇㄚˊ
麼,ㄇㄛ˙
黃,ㄏㄨㄤˊ
黑,ㄏㄟ
默,ㄇㄛˋ
點,ㄉㄧㄢˇ
鼓,ㄍㄨˇ
鼻,ㄅㄧˊ
