char,zhuyin
嚇,ㄒㄧㄚˋ
嚴,ㄧㄢˊ
四,ㄙˋ
回,ㄏㄨㄟˊ
因,ㄧㄣ
囪,ㄘㄨㄥ
困,ㄎㄨㄣˋ
固,ㄍㄨˋ
圈,ㄑㄩㄢ
國,ㄍㄨㄛˊ
圍,ㄨㄟˊ
園,ㄩㄢˊ
圓,ㄩㄢˊ
圖,ㄊㄨˊ
團,ㄊㄨㄢˊ
土,ㄊㄨˇ
在,ㄗㄞˋ
地,ㄉㄧˋ
坐,ㄗㄨㄛˋ
坡,ㄆㄛ
城,ㄔㄥˊ
基,ㄐㄧ
堅,ㄐㄧㄢ
堆,ㄉㄨㄟ
堡,ㄅㄠˇ
報,ㄅㄠˋ
場,ㄔㄤˇ
塊,ㄎㄨㄞˋ
填,ㄊㄧㄢˊ
境,ㄐㄧㄥˋ
增,ㄗㄥ
壓,ㄧㄚ
士,ㄕˋ
壯,ㄓㄨㄤˋ
夏,ㄒㄧㄚˋ
外,ㄨㄞˋ
多,ㄉㄨㄛ
夜,ㄧㄝˋ
夠,ㄍㄡˋ
夥,ㄏㄨㄛˇ
大,ㄉㄚˋ
天,ㄊㄧㄢ
太,ㄊㄞˋ
夫,ㄈㄨ
失,ㄕ
夾,ㄐㄧㄚˊ
奇,ㄑㄧˊ
奏,ㄗㄡˋ
套,ㄊㄠˋ
奮,ㄈㄣˋ
女,ㄋㄩˇ
奶,ㄋㄞˇ
好,ㄏㄠˇ
如,ㄖㄨˊ
妖,ㄧㄠ
妙,ㄇㄧㄠˋ
妹,ㄇㄟˋ
始,ㄕˇ
姓,ㄒㄧㄥˋ
委,ㄨㄟˇ
姨,ㄧˊ
姿,ㄗ
娘,ㄌㄧㄤˊ
婆,ㄆㄛˊ
婚,ㄏㄨㄣ
媽,ㄇㄚ
嫁,ㄐㄧㄚˋ
子,ㄗˇ
字,ㄗˋ
存,ㄘㄨㄣˊ
孝,ㄒㄧㄠˋ
季,ㄐㄧˋ
孫,ㄙㄨㄣ
學,ㄒㄩㄝˊ
宇,ㄩˇ
守,ㄕㄡˇ
安,ㄢ
完,ㄨㄢˊ
官,ㄍㄨㄢ
宙,ㄓㄡˋ
定,ㄉㄧㄥˋ
宜,ㄧˊ
客,ㄎㄜˋ
室,ㄕˋ
害,ㄏㄞˋ
家,ㄐㄧㄚ
容,ㄖㄨㄥˊ
宿,ㄙㄨˋ
寂,ㄐㄧˊ
寄,ㄐㄧˋ
密,ㄇㄧˋ
富,ㄈㄨˋ
寒,ㄏㄢˊ
寓,ㄩˋ
寞,ㄇㄛˋ
察,ㄔㄚˊ
實,ㄕˊ
寫,ㄒㄧㄝˇ
寬,ㄎㄨㄢ
寶,ㄅㄠˇ
封,ㄈㄥ
將,ㄐㄧㄤ
專,ㄓㄨㄢ
尊,ㄗㄨㄣ
對,ㄉㄨㄟˋ
導,ㄉㄠˇ
小,ㄒㄧㄠˇ
少,ㄕㄠˇ
尖,ㄐㄧㄢ
尚,ㄕㄤˋ
就,ㄐㄧㄡˋ
尺,ㄔˇ
尿,ㄋㄧㄠˋ
局,ㄐㄩˊ
居,ㄐㄩ
展,ㄓㄢˇ
山,ㄕㄢ
岸,ㄢˋ
峯,ㄈㄥ
島,ㄉㄠˇ
巖,ㄧㄢˊ
川,ㄔㄨㄢ
州,ㄓㄡ
工,ㄍㄨㄥ
左,ㄗㄨㄛˇ
巧,ㄑㄧㄠˇ
巨,ㄐㄩˋ
差,ㄔㄚ
己,ㄐㄧˇ
已,ㄧˇ
巴,ㄅㄚ
巾,ㄐㄧㄣ
市,ㄕˋ
布,ㄅㄨˋ
希,ㄒㄧ
帝,ㄉㄧˋ
師,ㄕ
帳,ㄓㄤˋ
帶,ㄉㄞˋ
常,ㄔㄤˊ
帽,ㄇㄠˋ
幕,ㄇㄨˋ
幫,ㄅㄤ
平,ㄆㄧㄥˊ
年,ㄋㄧㄢˊ
幸,ㄒㄧㄥˋ
幹,ㄍㄢˋ
幼,ㄧㄡˋ
幽,ㄧㄡ
幾,ㄐㄧˇ
序,ㄒㄩˋ
底,ㄉㄧˇ
店,ㄉㄧㄢˋ
府,ㄈㄨˇ
度,ㄉㄨˋ
座,ㄗㄨㄛˋ
庫,ㄎㄨˋ
庭,ㄊㄧㄥˊ
康,ㄎㄤ
廚,ㄔㄨˊ
廟,ㄇㄧㄠˋ
廢,ㄈㄟˋ
廣,ㄍㄨㄤˇ
廳,ㄊㄧㄥ
延,ㄧㄢˊ
建,ㄐㄧㄢˋ
弄,ㄋㄨㄥˋ
式,ㄕˋ
引,ㄧㄣˇ
弟,ㄉㄧˋ
弦,ㄒㄧㄢˊ
弱,ㄖㄨㄛˋ
張,ㄓㄤ
強,ㄑㄧㄤˊ
彈,ㄉㄢˋ
彎,ㄨㄢ
形,ㄒㄧㄥˊ
彩,ㄘㄞˇ
影,ㄧㄥˇ
彽,ㄉㄧ
往,ㄨㄤˇ
待,ㄉㄞˋ
很,ㄏㄣˇ
後,ㄏㄡˋ
得,ㄉㄜˊ
從,ㄘㄨㄥˊ
復,ㄈㄨˋ
徵,ㄓㄥ
德,ㄉㄜˊ
心,ㄒㄧㄣ
必,ㄅㄧˋ
忍,ㄖㄣˇ
志,ㄓˋ
忘,ㄨㄤˋ
忙,ㄇㄤˊ
忠,ㄓㄨㄥ
快,ㄎㄨㄞˋ
忱,ㄔㄣˊ
念,ㄋㄧㄢˋ
忽,ㄏㄨ
怎,ㄗㄣˇ
怒,ㄋㄨˋ
怕,ㄆㄚˋ
思,ㄙ˙
急,ㄐㄧˊ
性,ㄒㄧㄥˋ
怨,ㄩㄢˋ
怪,ㄍㄨㄞˋ
恩,ㄣ
恭,ㄍㄨㄥ
息,ㄒㄧˊ
悔,ㄏㄨㄟˇ
悠,ㄧㄡ
悲,ㄅㄟ
情,ㄑㄧㄥˊ
惜,ㄒㄧˊ
想,ㄒㄧㄤˇ
意,ㄧˋ
愛,ㄞˋ
感,ㄍㄢˇ
慢,ㄇㄢˋ
慣,ㄍㄨㄢˋ
慮,ㄌㄩˋ
慰,ㄨㄟˋ
慶,ㄑㄧㄥˋ
憤,ㄈㄣˋ
懂,ㄉㄨㄥˇ
應,ㄧㄥ
成,ㄔㄥˊ
我,ㄨㄛˇ
戒,ㄐㄧㄝˋ
或,ㄏㄨㄛˋ
戰,ㄓㄢˋ
戲,ㄒㄧˋ
戶,ㄏㄨˋ
房,ㄈㄤˊ
扇,ㄕㄢˋ
手,ㄕㄡˇ
才,ㄘㄞˊ
打,ㄉㄚˇ
扣,ㄎㄡˋ
扮,ㄅㄢˋ
扯,ㄔˇ
扶,ㄈㄨˊ
找,ㄓㄠˇ
承,ㄔㄥˊ
技,ㄐㄧˋ
抄,ㄔㄠ
把,ㄅㄚˇ
抓,ㄓㄨㄚ
投,ㄊㄡˊ
抗,ㄎㄤˋ
折,ㄓㄜˊ
抬,ㄊㄞˊ
抱,ㄅㄠˋ
抽,ㄔㄡ
拉,ㄌㄚ
拋,ㄆㄠ
拍,ㄆㄞ
拔,ㄅㄚ
拖,ㄊㄨㄛ
招,ㄓㄠ
拜,ㄅㄞˋ
括,ㄍㄨㄚ
拼,ㄆㄧㄣ
拿,ㄋㄚˊ
持,ㄔˊ
指,ㄓˇ
按,ㄢˋ
挑,ㄊㄧㄠ
挖,ㄨㄚ
挺,ㄊㄧㄥˇ
掃,ㄙㄠˇ
掉,ㄉㄧㄠˋ
